,order_id,categoria,categoria_final
1198,2fe3cac4410271c6297a141898af28f0,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1199,2fe96ee292d9f7a92740785a276d2de1,['MODA E BELEZA'],MODA E BELEZA
1200,2ff3e8ab6f85a5b98e1020c071ca5f12,['CASA E CONFORTO'],CASA E CONFORTO
1201,30002c6a65f9337d0115eeb979d0cdf0,['ARTES E DECORACAO'],ARTES E DECORACAO
1202,300542e713279c59c9741f77d049f567,['BEBES'],BEBES
1203,30123d8900ab69af8d7017c4e66ea57e,['MODA E BELEZA'],MODA E BELEZA
1204,3016d3537e78284991256efc878941ec,['CASA E CONFORTO'],CASA E CONFORTO
1205,30170ab8df1e61d04bcd55c3cab7f4ad,['PET SHOP'],PET SHOP
1206,3022b6c855879429f3e89d2927384d91,['CASA E CONFORTO'],CASA E CONFORTO
1207,302ba220a9388d22b3f036a1b9919b3f,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1208,302bb8109d097a9fc6e9cefc5917d1f3,['CASA E CONFORTO'],CASA E CONFORTO
1209,302e20550af8f4aa30223f3cabcc14c0,['MODA E BELEZA'],MODA E BELEZA
1210,302e35ab075da160f3f02ba14e56d918,['AUTOMOTIVO'],AUTOMOTIVO
1211,303edeab6728412b08ad9c17990159a4,['CASA E CONFORTO'],CASA E CONFORTO
1212,3054c6a8e45b740723ec8a7145d867b7,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1213,3062239cf5087db015afcb38eb79c5c1,['MODA E BELEZA'],MODA E BELEZA
1214,3090dd6007fdfb9b78972782cb7cfbd1,['ALIMENTOS'],ALIMENTOS
1215,309de5faf9baa8961fd068f3f4e44dcd,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1216,30bef37a80d21494c619aea50b367550,['ARTES E DECORACAO'],ARTES E DECORACAO
1217,30d069e8fe27dc74e756bbb4f470a361,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1218,30d6ee4a4d29531562ae9ca6c0635d61,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1219,30da20eacd71a5e8cac16c775ef72984,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1220,30e934394c047a409bb861a9ecbcff43,['MODA E BELEZA'],MODA E BELEZA
1221,30ee51f86a9d676801e824efd4aad215,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1222,31001a77165dd554fcc32640defe98a1,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1223,310a0d29a24aac9be0dfee5e0fa45204,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1224,3110b5fad81e43d7deeb4bb585bc43f2,['PET SHOP'],PET SHOP
1225,311251ba5bfaf2e67111e56ddee44f14,['MODA E BELEZA'],MODA E BELEZA
1226,314c573c3c333b3bfdaf1b7821642d39,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1227,3151632a0a68e4f69a7f29961a091904,['CASA E CONFORTO'],CASA E CONFORTO
1228,3157a4052d9fe8c58017857eac745f0b,['CASA E CONFORTO'],CASA E CONFORTO
1229,315b408ea2b172afb8ed00e598158e62,['MODA E BELEZA'],MODA E BELEZA
1230,318bddc9ed5c748afe160e7dca09e276,['MODA E BELEZA'],MODA E BELEZA
1231,31938103922393f681c7f0c0fc14cd20,['ARTES E DECORACAO'],ARTES E DECORACAO
1232,3195c228f36c525c75f392549eff247f,['MODA E BELEZA'],MODA E BELEZA
1233,31a2fff09340d8ff99194ad110622ed3,"['LIVROS, MUSICA E PAPELARIA']","LIVROS, MUSICA E PAPELARIA"
1234,31a7dd4d08e48968ab49478c64c7075a,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1235,31be4a9a42c356eb746eee159757c1b5,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1236,31c115453235b762093e6f6983bf669d,['BEBES'],BEBES
1237,31c2a1051b9b9899d82d9b980ec8775d,['BEBES'],BEBES
